B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B05006,values,['Total:'],"['Asia:', 'Africa:', 'Americas:', 'Oceania:', 'Europe:']","['', 'Eastern Europe:', 'Australia and New Zealand Subregion:', 'Asia,n.e.c. ', 'Western Africa:', 'South Eastern Asia:', 'Northern America:', 'Southern Europe:', 'Southern Africa:', 'Oceania, n.e.c. ', 'Europe, n.e.c. ', 'Latin America:', 'Eastern Africa:', 'South Central Asia:', 'Western Asia:', 'Northern Africa:', 'Middle Africa:', 'Western Europe:', 'Northern Europe:', 'Africa, n.e.c. ', 'Eastern Asia:', 'Fiji']","['', 'Lithuania', 'Switzerland', 'Saudi Arabia', 'Other Western Africa ', 'Other Western Asia ', 'Other South Eastern Asia ', 'Philippines ', 'Afghanistan ', 'Greece ', 'Austria ', 'Central America:', 'Ukraine ', 'Other Australian and New Zealand Subregion ', 'Cabo Verde', 'Kenya ', 'Portugal ', 'Yemen', 'Laos ', 'Albania', 'Other Northern Africa ', 'China:', 'Liberia ', 'Armenia ', 'South America:', 'Croatia ', 'Somalia', 'Other Southern Africa ', 'Norway', 'Other Northern Europe ', 'Ethiopia ', 'Singapore', 'Syria ', 'Nigeria ', 'Poland ', 'Other Eastern Europe ', 'United Kingdom (inc. Crown Dependencies):', 'Sweden', 'Caribbean:', 'Bulgaria', 'Italy ', 'Indonesia ', 'Malaysia', 'Netherlands ', 'Kuwait', 'Bosnia and Herzegovina ', 'Egypt ', 'Belarus', 'Lebanon ', 'Other Middle Africa', 'Turkey ', 'Belgium', 'Sierra Leone', 'Iran ', 'Bangladesh ', 'Denmark', 'Moldova', 'Morocco', 'Pakistan ', 'Korea ', 'Spain ', 'Iraq ', 'Ireland ', 'India ', 'Other Western Europe ', 'Other Eastern Asia ', 'Uzbekistan', 'Russia ', 'Sudan', 'Ghana ', 'Nepal', 'South Africa ', 'Jordan', 'Canada ', 'Other Northern America ', 'Cambodia ', 'Kazakhstan', 'Eritrea', 'Other South Central Asia', 'Romania ', 'Czechoslovakia (includes Czech Republic and Slovakia) ', 'Israel ', 'Macedonia', 'Japan ', 'Latvia', 'Australia ', 'Other Southern Europe ', 'Other Eastern Africa ', 'Burma', 'Serbia', 'Hungary ', 'Cameroon           ', 'Germany ', 'Sri Lanka', 'Vietnam ', 'Thailand ', 'France ']","['', 'Panama ', 'El Salvador ', 'Azores Islands', 'Venezuela ', 'Dominica ', 'Cuba ', 'Other Central America ', 'Bahamas', 'Peru ', 'Guyana ', 'Jamaica ', 'Guatemala ', 'Scotland ', 'Nicaragua ', 'West Indies', 'Other South America', 'Belize', 'Ecuador ', 'Colombia ', 'Brazil ', 'England ', 'Dominican Republic ', 'Mexico ', 'China, excluding Hong Kong and Taiwan ', 'Barbados ', 'Taiwan ', 'Other Caribbean ', 'Grenada', 'Haiti ', 'United Kingdom, excluding England and Scotland ', 'Uruguay', 'St. Vincent and the Grenadines', 'Honduras ', 'Trinidad and Tobago ', 'Argentina ', 'Hong Kong ', 'Bolivia ', 'Costa Rica ', 'Chile ']",,,
B05006PR,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,,,,,,,,
B05006PR,dimensions,,Place of Birth,Place of Birth,Place of Birth,Place of Birth,,,
B05006PR,values,['Total:'],"['Asia:', 'Oceania', 'Africa', 'Americas:', 'Europe:']","['', 'Latin America:', 'Northern Europe', 'Eastern Europe', 'Eastern Asia:', 'Northern America', 'Southern Europe:', 'South Central Asia', 'Asia,n.e.c. ', 'South Eastern Asia', 'Western Asia', 'Western Europe', 'Europe, n.e.c. ']","['', 'Other Eastern Asia ', 'South America:', 'Caribbean:', 'China:', 'Korea ', 'Other Southern Europe ', 'Spain ', 'Central America:']","['', 'Other South America', 'Guatemala ', 'Mexico ', 'El Salvador ', 'Argentina ', 'Peru ', 'Venezuela ', 'Dominican Republic ', 'Cuba ', 'Honduras ', 'Colombia ', 'Other Central America ', 'Panama ', 'Taiwan ', 'Other Caribbean ', 'China, excluding Taiwan ', 'Haiti ', 'Ecuador ', 'Costa Rica ', 'Chile ']",,,
B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,,,,,,,,
B05007,dimensions,,Place of Birth,Place of Birth,Place of Birth,Immigration Year,US Citizenship,,
B05007,values,['Total:'],"['Asia:', 'Latin America:', 'Other areas:', 'Europe:']","['', 'South America:', 'Central America:', 'Caribbean:']","['', 'Mexico:', 'Other Central America:']","['', 'Entered before 1990:', 'Entered 1990 to 1999:', 'Entered 2010 or later', 'Entered 2000 to 2009']","['', 'Naturalized U.S. citizen', 'Not a U.S. citizen']",,
B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,,,,,,,,
B05008,dimensions,,Sex,Place of Birth,Place of Birth,Place of Birth,Immigration Year,,
B05008,values,['Total:'],"['Male:', 'Female:']","['', 'Asia:', 'Latin America:', 'Other areas:', 'Europe:']","['', 'South America:', 'Central America:', 'Caribbean:']","['', 'Mexico:', 'Other Central America:']","['', 'Entered before 2000', 'Entered 2010 or later', 'Entered 2000 to 2009']",,
B05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,,,,,,,,
B05009,dimensions,,Age of Children,Parents Present,Nativity of Parent(s),Nativity of Child,,,
B05009,values,['Total:'],"['Under 6 years:', '6 to 17 years:']","['Living with one parent:', '', 'Living with two parents:']","['', 'Native parent', 'Foreign-born parent:', 'Both parents native', 'Both parents foreign born:', 'One native and one foreign-born parent:']","['Child is native', '', 'Child is foreign born']",,,
B05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,,,,,,,,
B05010,dimensions,,Poverty Level Multiple,Parents Present,Nativity of Parent(s),,,,
B05010,values,['Total:'],"['1.00 to 1.99:', 'Under 1.00:', '2.0  and over:']","['Living with one parent:', '', 'Living with two parents:']","['', 'One native and one foreign-born parent', 'Native parent', 'Both parents foreign born', 'Foreign-born parent', 'Both parents native']",,,,
B05011,PERIOD OF NATURALIZATION,,,,,,,,
B05011,dimensions,,US Citizenship,Naturalization Period,,,,,
B05011,values,['Total:'],"['Not a U.S. citizen', 'Naturalized citizens:']","['Naturalized 2010 or later', 'Naturalized 1995 to 1999', 'Naturalized 2000 to 2004', 'Naturalized 2005 to 2009', 'Naturalized 1985 to 1989', 'Naturalized 1990 to 1994', 'Naturalized 1980 to 1984', 'Naturalized before 1980']",,,,,
B05012,NATIVITY IN THE UNITED STATES,,,,,,,,
B05012,dimensions,,Nativity,,,,,,
B05012,values,['Total:'],"['Foreign-Born', 'Native']",,,,,,
B05012PR,NATIVITY IN PUERTO RICO,,,,,,,,
B05012PR,dimensions,,Nativity,,,,,,
B05012PR,values,['Total:'],"['Foreign-Born', 'Native']",,,,,,
B05013,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,,,,,,,,
B05013,dimensions,,Sex,Age,,,,,
B05013,values,['Total:'],"['Male:', 'Female:']","['', '30 to 34 years', '5 to 9 years', '35 to 39 years', '20 to 24 years', '40 to 44 years', '70 to 74 years', '15 to 19 years', '75 to 79 years', '10 to 14 years', 'Under 5 years', '55 to 59 years', '80 to 84 years', '60 to 64 years', '45 to 49 years', '50 to 54 years', '85 years and over', '25 to 29 years', '65 to 69 years']",,,,,
B05014,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,,,,,,,,
B05014,dimensions,,Sex,Age,,,,,
B05014,values,['Total:'],"['Male:', 'Female:']","['    20 to 29 years', '    40 to 49 years', '', '    10 to 19 years', '    30 to 39 years', '    60 to 69 years', '    Under 10 years', '    70 years and over', '    50 to 59 years']",,,,,
B06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,,,,,,,,
B06001,dimensions,,Place of Birth,Age,,,,,
B06001,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['18 to 24 years', '75 years and over', '', '35 to 44 years', '45 to 54 years', '60 and 61 years', '62 to 64 years', 'Under 5 years', '55 to 59 years', '25 to 34 years', '65 to 74 years', '5 to 17 years']",,,,,
B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,,,,,,,,
B06001PR,dimensions,,Place of Birth,Age,,,,,
B06001PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['18 to 24 years', '75 years and over', '', '35 to 44 years', '45 to 54 years', '60 and 61 years', '62 to 64 years', 'Under 5 years', '55 to 59 years', '25 to 34 years', '65 to 74 years', '5 to 17 years']",,,,,
B06002,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,,,,,,,,
B06002,dimensions,,,Place of Birth,,,,,
B06002,values,['Median age --'],['Total:'],"['Native; born outside the United States', 'Born in state of residence', 'Born in other state of the United States', 'Foreign born']",,,,,
B06002PR,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,,,,,,,,
B06002PR,dimensions,,,Place of Birth,,,,,
B06002PR,values,['Median age --'],['Total:'],"['Born in Puerto Rico', 'Native; born elsewhere', 'Foreign born', 'Born in the United States']",,,,,
B06003,PLACE OF BIRTH BY SEX IN THE UNITED STATES,,,,,,,,
B06003,dimensions,,Place of Birth,Sex,,,,,
B06003,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['Male ', '', 'Female ']",,,,,
B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO,,,,,,,,
B06003PR,dimensions,,Place of Birth,Sex,,,,,
B06003PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['Male ', '', 'Female ']",,,,,
B06004A,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004A,dimensions,,Place of Birth,,,,,,
B06004A,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004APR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004APR,dimensions,,Place of Birth,,,,,,
B06004APR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004B,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004B,dimensions,,Place of Birth,,,,,,
B06004B,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004BPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004BPR,dimensions,,Place of Birth,,,,,,
B06004BPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004C,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004C,dimensions,,Place of Birth,,,,,,
B06004C,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004CPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004CPR,dimensions,,Place of Birth,,,,,,
B06004CPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004D,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004D,dimensions,,Place of Birth,,,,,,
B06004D,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004DPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004DPR,dimensions,,Place of Birth,,,,,,
B06004DPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004E,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004E,dimensions,,Place of Birth,,,,,,
B06004E,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004EPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004EPR,dimensions,,Place of Birth,,,,,,
B06004EPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004F,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004F,dimensions,,Place of Birth,,,,,,
B06004F,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004FPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004FPR,dimensions,,Place of Birth,,,,,,
B06004FPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004G,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004G,dimensions,,Place of Birth,,,,,,
B06004G,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004GPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004GPR,dimensions,,Place of Birth,,,,,,
B06004GPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004H,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004H,dimensions,,Place of Birth,,,,,,
B06004H,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004HPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004HPR,dimensions,,Place of Birth,,,,,,
B06004HPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06004I,PLACE OF BIRTH  IN THE UNITED STATES,,,,,,,,
B06004I,dimensions,,Place of Birth,,,,,,
B06004I,values,['Total:'],"['Native; born outside the United States ', 'Born in state of residence ', 'Foreign born ', 'Born in other state in the United States ']",,,,,,
B06004IPR,PLACE OF BIRTH  IN PUERTO RICO,,,,,,,,
B06004IPR,dimensions,,Place of Birth,,,,,,
B06004IPR,values,['Total:'],"['Born in the United States ', 'Born in Puerto Rico', 'Foreign born ', 'Native; born elsewhere ']",,,,,,
B06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,,,,,,,,
B06007,dimensions,,Place of Birth,Languages Spoken,English Ability,,,,
B06007,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['', 'Speak other languages:', 'Speak Spanish:', 'Speak only English ']","['', 'Speak English less than ""very well""', 'Speak English ""very well""']",,,,
B06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,,,,,,,,
B06007PR,dimensions,,Place of Birth,Languages Spoken,English Ability,,,,
B06007PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['', 'Speak other languages:', 'Speak Spanish:', 'Speak only English ']","['', 'Speak English less than ""very well""', 'Speak English ""very well""']",,,,
B06008,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,,,,,,,,
B06008,dimensions,,Nativity,Marital Status,,,,,
B06008,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['', 'Divorced ', 'Widowed ', 'Now married, except separated ', 'Separated ', 'Never married ']",,,,,
B06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,,,,,,,,
B06008PR,dimensions,,Place of Birth,Marital Status,,,,,
B06008PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['', 'Divorced ', 'Widowed ', 'Now married, except separated ', 'Separated ', 'Never married ']",,,,,
B06009,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,,,,,,,,
B06009,dimensions,,Place of Birth,Educational Attainment,,,,,
B06009,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['', 'Graduate or professional degree ', 'Less than high school graduate ', ""Some college or associate's degree "", ""Bachelor's degree "", 'High school graduate (includes equivalency) ']",,,,,
B06009PR,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,,,,,,,,
B06009PR,dimensions,,Place of Birth,Educational Attainment,,,,,
B06009PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['', 'Graduate or professional degree ', 'Less than high school graduate ', ""Some college or associate's degree "", ""Bachelor's degree "", 'High school graduate (includes equivalency) ']",,,,,
B06010,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN THE UNITED STATES,,,,,,,,
B06010,dimensions,,Place of Birth,Income,Income,,,,
B06010,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['', 'No income ', 'With income:']","['', '$75,000 or more ', '$1 to $9,999 or loss ', '$25,000 to $34,999 ', '$50,000 to $64,999 ', '$15,000 to $24,999 ', '$35,000 to $49,999 ', '$10,000 to $14,999 ', '$65,000 to $74,999 ']",,,,
B06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  IN PUERTO RICO,,,,,,,,
B06010PR,dimensions,,Place of Birth,Income,Income,,,,
B06010PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['', 'No income ', 'With income:']","['', '$75,000 or more ', '$1 to $9,999 or loss ', '$25,000 to $34,999 ', '$50,000 to $64,999 ', '$15,000 to $24,999 ', '$35,000 to $49,999 ', '$10,000 to $14,999 ', '$65,000 to $74,999 ']",,,,
B06011,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN THE UNITED STATES,,,,,,,,
B06011,dimensions,,,Place of Birth,,,,,
B06011,values,['Median income in the past 12 months --'],['Total:'],"['Native; born outside the United States', 'Born in state of residence', 'Born in other state of the United States', 'Foreign born']",,,,,
B06011PR,MEDIAN INCOME IN THE PAST 12 MONTHS  BY PLACE OF BIRTH IN PUERTO RICO,,,,,,,,
B06011PR,dimensions,,,Place of Birth,,,,,
B06011PR,values,['Median income in the past 12 months --'],['Total:'],"['Born in Puerto Rico', 'Born in other state of the United States', 'Foreign born', 'Native; born elsewhere']",,,,,
B06012,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,,,,,,,,
B06012,dimensions,,Place of Birth,Poverty Status,,,,,
B06012,values,['Total:'],"['Foreign born:', 'Born in state of residence:', 'Native; born outside the United States:', 'Born in other state in the United States:']","['At or above 150 percent of the poverty level ', '', 'Below 100 percent of the poverty level ', '100 to 149 percent of the poverty level ']",,,,,
B06012PR,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,,,,,,,,
B06012PR,dimensions,,Place of Birth,Poverty Status,,,,,
B06012PR,values,['Total:'],"['Born in Puerto Rico:', 'Foreign born:', 'Born in the United States:', 'Native; born elsewhere:']","['At or above 150 percent of the poverty level ', '', 'Below 100 percent of the poverty level ', '100 to 149 percent of the poverty level ']",,,,,
B07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,,,,,,,,
B07001,dimensions,,Geographical Mobility,Age,,,,,
B07001,values,['Total:'],"['Moved from different state:', 'Moved from abroad:', 'Moved from different county within same state:', 'Moved within same county:', 'Same house 1 year ago:']","['', '30 to 34 years', '35 to 39 years', '40 to 44 years', '75 years and over ', '18 and 19 years ', '20 to 24 years', '60 to 64 years ', '70 to 74 years', '65 to 69 years ', '1 to 4 years ', '5 to 17 years ', '45 to 49 years', '50 to 54 years', '25 to 29 years', '55 to 59 years ']",,,,,
B07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,,,,,,,,
B07001PR,dimensions,,Geographical Mobility,Age,,,,,
B07001PR,values,['Total:'],"['Moved within same municipio:', 'Moved from different municipio:', 'Moved from elsewhere:', 'Moved from the United States:', 'Same house 1 year ago:']","['', '30 to 34 years', '35 to 39 years', '40 to 44 years', '75 years and over ', '18 and 19 years ', '20 to 24 years', '60 to 64 years ', '70 to 74 years', '65 to 69 years ', '1 to 4 years ', '5 to 17 years ', '45 to 49 years', '50 to 54 years', '25 to 29 years', '55 to 59 years ']",,,,,
B07002,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,,,,,,,,
B07002,dimensions,,,Geographical Mobility,,,,,
B07002,values,['Median age --'],['Total:'],"['Moved from different state', 'Moved within same county', 'Same house 1 year ago', 'Moved from different county within same state', 'Moved from abroad']",,,,,
B07002PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,,,,,,,,
